uptime;angle;pulse_us;done
10591803;83;1422;0
10661205;87;1466;0
10671633;84;1433;0
10691625;87;1466;0
10701659;90;1500;0
10722552;97;1577;0
10793374;82;1411;0
10811604;81;1400;0
10821830;98;1588;0
10831221;99;1600;0
10841634;97;1577;0
10851729;93;1533;0
10861655;90;1500;0
10882431;81;1400;0
10891622;84;1433;0
10911761;85;1444;0
10921891;83;1422;0
10931776;99;1600;0
10952483;95;1555;0
10961609;92;1522;0
10981706;98;1588;0
10991205;100;1611;0
11022549;80;1388;0
11051786;96;1566;0
11071731;99;1600;0
11091797;90;1500;0
11126659;87;1466;0
11131937;94;1544;0
11141331;99;1600;0
11181850;94;1544;0
11191655;93;1533;0
11201709;85;1444;0
11211624;87;1466;0
11221653;84;1433;0
11231760;81;1400;0
11241662;86;1455;0
11251764;87;1466;0
11261634;98;1588;0
11271608;99;1600;0
11281833;78;1366;0
11301665;81;1400;0
11322388;95;1555;0
11361624;96;1566;0
11371653;82;1411;0
11381324;78;1366;0
11391689;90;1500;0
11401627;92;1522;0
11411198;94;1544;0
11421610;93;1533;0
11431826;90;1500;0
11441638;92;1522;0
11451812;102;1633;0
11461611;101;1622;0
11471665;90;1500;0
11492561;82;1411;0
11521653;78;1366;0
11531758;79;1377;0
11541669;77;1355;0
11551616;79;1377;0
11561615;101;1622;0
11571644;98;1588;0
11581827;93;1533;0
11591641;92;1522;0
11601625;76;1344;0
11611643;77;1355;0
11621657;104;1655;0
11631753;103;1644;0
11641634;78;1366;0
11662376;89;1488;0
11671652;90;1500;0
11691657;87;1466;0
11701615;89;1488;0
11711688;98;1588;0
11721627;97;1577;0
11731820;89;1488;0
11752518;81;1400;0
11761654;78;1366;0
11781930;98;1588;0
11801744;97;1577;0
11811738;99;1600;0
11821745;77;1355;0
11831857;78;1366;0
11841754;86;1455;0
11862446;83;1422;0
11871625;82;1411;0
11891729;99;1600;0
11901737;98;1588;0
11911748;86;1455;0
11921683;88;1477;0
11931435;90;1500;0
11941701;89;1488;0
11951791;98;1588;0
11961760;97;1577;0
11971747;93;1533;0
11981858;92;1522;0
11991799;83;1422;0
12001695;84;1433;0
12011755;80;1388;0
12021700;79;1377;0
12031942;83;1422;0
12041736;85;1444;0
12051866;78;1366;0
12072476;82;1411;0
12101661;94;1544;0
12111614;95;1555;0
12121629;87;1466;0
12161813;92;1522;0
12171748;87;1466;0
12182465;101;1622;0
12211816;77;1355;0
12221638;78;1366;0
12231639;101;1622;0
12252678;95;1555;0
12261812;93;1533;0
12281760;82;1411;0
12291756;84;1433;0
12301806;95;1555;0
12322386;87;1466;0
12331611;85;1444;0
12351772;91;1511;0
12361903;92;1522;0
12371309;90;1500;0
12381715;91;1511;0
12391791;86;1455;0
12401723;83;1422;0
12411897;76;1344;0
12421707;77;1355;0
12431757;93;1533;0
12441751;94;1544;0
12451800;79;1377;0
12472557;96;1566;0
12481616;95;1555;0
12501731;103;1644;0
12511856;102;1633;0
12521773;89;1488;0
12531753;91;1511;0
12541793;94;1544;0
12551738;92;1522;0
12561930;93;1533;0
12571748;94;1544;0
12581769;103;1644;0
12591765;101;1622;0
12601751;84;1433;0
12611890;87;1466;0
12621796;99;1600;0
12631717;96;1566;0
12642363;101;1622;0
12651623;102;1633;0
12671683;78;1366;0
12691737;81;1400;0
12701736;79;1377;0
12711947;86;1455;0
12721755;89;1488;0
12731725;99;1600;0
12741729;97;1577;0
12751769;83;1422;0
12761884;84;1433;0
12771777;96;1566;0
12781718;97;1577;0
12791810;98;1588;0
12801744;96;1566;0
12813895;47;1022;0
12831749;54;1100;0
12851722;56;1122;0
12861678;53;1088;0
12872191;67;1244;0
12882114;55;1111;0
12891777;61;1177;0
12901824;53;1088;0
12912673;74;1322;0
12922514;53;1088;0
12941401;60;1166;0
12951363;55;1111;0
12962233;70;1277;0
12972211;54;1100;0
12982238;85;1444;0
12992221;55;1111;0
13001845;54;1100;0
13023132;70;1277;0
13031755;56;1122;0
13051731;55;1111;0
13061683;56;1122;0
13072325;68;1255;0
13082097;57;1133;0
13091747;63;1200;0
13101786;57;1133;0
13113175;95;1555;0
13122282;60;1166;0
13142152;93;1533;0
13152072;62;1188;0
13187594;64;1211;0
13193368;52;1077;0
13202250;60;1166;0
13213113;121;1844;0
13222120;66;1233;0
13242907;52;1077;0
13252218;62;1188;0
13262226;56;1122;0
13272196;62;1188;0
13281857;112;1744;0
13291972;65;1222;0
13302900;74;1322;0
13312071;66;1233;0
13332229;74;1322;0
13342500;68;1255;0
13352293;51;1066;0
13362149;64;1211;0
13372232;61;1177;0
13382168;65;1222;0
13392465;110;1722;0
13402169;68;1255;0
13412241;52;1077;0
13422192;66;1233;0
13432227;87;1466;0
13442378;67;1244;0
13452656;63;1200;0
13462232;67;1244;0
13472258;100;1611;0
13482177;69;1266;0
13492502;66;1233;0
13502207;69;1266;0
13512221;51;1066;0
13522184;66;1233;0
13531851;50;1055;0
13541987;63;1200;0
13553515;122;1855;0
13562087;69;1266;0
13582109;52;1077;0
13592292;67;1244;0
13602118;52;1077;0
13612057;65;1222;0
13622137;86;1455;0
13632087;67;1244;0
13663411;75;1333;0
13672072;67;1244;0
13691904;101;1622;0
13701674;71;1288;0
13712167;53;1088;0
13722094;69;1266;0
13732126;55;1111;0
13742304;68;1255;0
13752109;76;1344;0
13762182;68;1255;0
13772692;64;1211;0
13782203;69;1266;0
13792474;112;1744;0
13802185;73;1311;0
13812245;50;1055;0
13822170;65;1222;0
13832221;80;1388;0
13842413;67;1244;0
