uptime;angle;pulse_us;done
10571293;83;1422;0
10581269;84;1433;0
10591312;83;1422;0
10671192;84;1433;0
10681178;90;1500;0
10691181;87;1466;0
10701204;90;1500;0
10722046;97;1577;0
10792123;82;1411;0
10811155;81;1400;0
10821345;99;1600;0
10841175;89;1488;0
10851290;93;1533;0
10861203;90;1500;0
10881932;87;1466;0
10891192;84;1433;0
10911294;81;1400;0
10921439;83;1422;0
10931298;99;1600;0
10952004;89;1488;0
10961174;92;1522;0
10981191;100;1611;0
11022033;80;1388;0
11051284;96;1566;0
11071274;99;1600;0
11091289;84;1433;0
11126172;87;1466;0
11131478;99;1600;0
11181319;92;1522;0
11191200;93;1533;0
11201206;89;1488;0
11211187;87;1466;0
11221191;80;1388;0
11231320;81;1400;0
11241191;88;1477;0
11251306;87;1466;0
11261190;100;1611;0
11271176;99;1600;0
11281352;79;1377;0
11291210;78;1366;0
11301196;81;1400;0
11321903;95;1555;0
11351166;97;1577;0
11361182;96;1566;0
11371193;78;1366;0
11391191;94;1544;0
11401189;92;1522;0
11421172;93;1533;0
11431342;94;1544;0
11441180;92;1522;0
11451322;98;1588;0
11461179;101;1622;0
11471209;90;1500;0
11492035;82;1411;0
11521184;80;1388;0
11531315;79;1377;0
11541212;81;1400;0
11551172;79;1377;0
11561180;95;1555;0
11571206;98;1588;0
11581355;91;1511;0
11591209;92;1522;0
11601180;80;1388;0
11611189;77;1355;0
11621196;99;1600;0
11631319;103;1644;0
11641191;78;1366;0
11661918;91;1511;0
11671205;90;1500;0
11691180;91;1511;0
11701178;89;1488;0
11711216;96;1566;0
11721194;97;1577;0
11731344;89;1488;0
11752053;75;1333;0
11761204;78;1366;0
11781427;98;1588;0
11801265;101;1622;0
11811295;99;1600;0
11821288;79;1377;0
11831414;78;1366;0
11841304;86;1455;0
11861943;81;1400;0
11871183;82;1411;0
11891270;97;1577;0
11901296;98;1588;0
11911295;90;1500;0
11921254;88;1477;0
11941269;89;1488;0
11951301;96;1566;0
11961299;97;1577;0
11971287;91;1511;0
11981411;92;1522;0
11991312;85;1444;0
12001264;84;1433;0
12011297;78;1366;0
12021263;79;1377;0
12031457;87;1466;0
12041280;85;1444;0
12051396;78;1366;0
12072009;82;1411;0
12101175;96;1566;0
12111171;95;1555;0
12121176;87;1466;0
12161331;82;1411;0
12171309;87;1466;0
12181974;101;1622;0
12211325;79;1377;0
12221188;78;1366;0
12231179;101;1622;0
12252169;91;1511;0
12261346;93;1533;0
12281286;86;1455;0
12291310;84;1433;0
12301330;95;1555;0
12321908;83;1422;0
12331179;85;1444;0
12351289;93;1533;0
12361460;92;1522;0
12381281;91;1511;0
12391312;80;1388;0
12401296;83;1422;0
12411419;78;1366;0
12421278;77;1355;0
12431304;95;1555;0
12441303;94;1544;0
12451305;79;1377;0
12472042;94;1544;0
12481181;95;1555;0
12501288;101;1622;0
12511413;102;1633;0
12521310;93;1533;0
12531289;91;1511;0
12541325;90;1500;0
12551287;92;1522;0
12561445;95;1555;0
12571311;94;1544;0
12581301;99;1600;0
12591310;101;1622;0
12601283;90;1500;0
12611436;87;1466;0
12621323;93;1533;0
12631285;96;1566;0
12641910;103;1644;0
12651184;102;1633;0
12671184;78;1366;0
12691281;77;1355;0
12701285;79;1377;0
12711434;92;1522;0
12721318;89;1488;0
12731280;95;1555;0
12741298;97;1577;0
12751302;85;1444;0
12761442;84;1433;0
12771307;98;1588;0
12781283;97;1577;0
12791328;94;1544;0
12801300;96;1566;0
12813480;90;1500;0
12831261;133;1977;0
12841261;135;2000;0
12871777;133;1977;0
12881697;135;2000;0
12912205;122;1855;0
12922104;135;2000;0
12961823;128;1922;0
12971800;135;2000;0
12981825;115;1777;0
12991804;135;2000;0
13022613;128;1922;0
13031297;135;2000;0
13071919;130;1944;0
13081683;135;2000;0
13112766;101;1622;0
13121872;135;2000;0
13141737;101;1622;0
13151661;132;1966;0
13187179;130;1944;0
13192958;135;2000;0
13201844;134;1988;0
13212702;73;1311;0
13221711;128;1922;0
13242491;135;2000;0
13251810;132;1966;0
13261821;135;2000;0
13271785;132;1966;0
13281375;80;1388;0
13291540;127;1911;0
13302490;118;1811;0
13311665;126;1900;0
13331820;120;1833;0
13342000;126;1900;0
13351867;135;2000;0
13361744;128;1922;0
13371813;133;1977;0
13381761;129;1933;0
13392055;82;1411;0
13401764;124;1877;0
13411831;135;2000;0
13421782;128;1922;0
13431817;105;1666;0
13441966;125;1888;0
13452248;131;1955;0
13461823;127;1911;0
13471844;90;1500;0
13481771;121;1844;0
13492096;126;1900;0
13501795;123;1866;0
13511811;135;2000;0
13521779;126;1900;0
13531377;135;2000;0
13541533;127;1911;0
13553108;70;1277;0
13561682;123;1866;0
13581699;135;2000;0
13591882;127;1911;0
13601701;135;2000;0
13611648;127;1911;0
13621732;106;1677;0
13631676;125;1888;0
13663003;115;1777;0
13671666;123;1866;0
13691427;91;1511;0
13701245;121;1844;0
13711753;135;2000;0
13721688;123;1866;0
13731719;135;2000;0
13741892;124;1877;0
13751698;114;1766;0
13761771;122;1855;0
13772287;128;1922;0
13781797;123;1866;0
13792064;80;1388;0
13801775;119;1822;0
13811836;135;2000;0
13821760;125;1888;0
13831812;110;1722;0
13842006;123;1866;0
13851850;113;1755;0
13861873;122;1855;0
13873088;126;1900;0
13881667;124;1877;0
13901684;114;1766;0
13911658;122;1855;0
13921723;106;1677;0
13931679;120;1833;0
13941477;117;1800;0
13951368;120;1833;0
13962511;135;2000;0
13971663;124;1877;0
13991932;135;2000;0
14001690;127;1911;0
14011718;53;1088;0
14021654;119;1822;0
14031736;77;1355;0
14041894;115;1777;0
14051667;135;2000;0
14061868;121;1844;0
14071830;129;1933;0
14082132;120;1833;0
14092059;135;2000;0
14101794;124;1877;0
14111808;71;1288;0
14121760;119;1822;0
14131814;51;1066;0
14141978;113;1755;0
14151390;122;1855;0
14161341;113;1755;0
14172635;60;1166;0
14181666;108;1700;0
14222432;135;2000;0
14231813;114;1766;0
14242557;59;1155;0
14251676;109;1711;0
14271916;135;2000;0
14281671;118;1811;0
14291715;50;1055;0
14301692;107;1688;0
14311797;135;2000;0
14341660;121;1844;0
14361713;50;1055;0
14371857;102;1633;0
14381741;135;2000;0
14391704;124;1877;0
14401249;135;2000;0
14411360;129;1933;0
14423183;115;1777;0
14431689;127;1911;0
14451715;50;1055;0
14461803;100;1611;0
14471715;135;2000;0
14481649;112;1744;0
14491725;135;2000;0
14501705;119;1822;0
14511689;50;1055;0
14521665;101;1622;0
14532185;135;2000;0
14541707;108;1700;0
14551746;135;2000;0
14561672;122;1855;0
14571743;50;1055;0
14581656;103;1644;0
14591768;135;2000;0
14601662;122;1855;0
14611729;70;1277;0
14621696;117;1800;0
14632151;49;1044;0
14641776;103;1644;0
14651832;135;2000;0
14661909;119;1822;0
14671809;135;2000;0
14681763;120;1833;0
14691825;51;1066;0
14701754;101;1622;0
14711805;135;2000;0
14721755;107;1688;0
14732307;50;1055;0
14741782;98;1588;0
14751804;135;2000;0
14761757;117;1800;0
14771822;127;1911;0
14781769;118;1811;0
14791822;135;2000;0
14801821;127;1911;0
