uptime;angle;pulse_us;done
27171238;133;1977;0
27261224;129;1933;0
27321228;133;1977;0
27361222;129;1933;0
27401368;54;1100;0
27411323;129;1933;0
27471225;87;1466;0
27481231;129;1933;0
27521298;133;1977;0
27531369;129;1933;0
27552152;126;1900;0
27561214;129;1933;0
27631330;125;1888;0
27641349;129;1933;0
27731240;47;1022;0
27741213;133;1977;0
27772199;111;1733;0
27781219;129;1933;0
27801220;133;1977;0
27831201;129;1933;0
28161564;74;1322;0
28171210;129;1933;0
28181620;125;1888;0
28201340;129;1933;0
28231318;133;1977;0
28341346;135;2000;0
28351338;55;1111;0
28361430;135;2000;0
28441247;58;1144;0
28451252;133;1977;0
28482073;47;1022;0
28491222;133;1977;0
28592165;105;1666;0
28601610;129;1933;0
28621317;133;1977;0
28661356;99;1600;0
28671311;133;1977;0
28691319;129;1933;0
28701748;98;1588;0
28711324;129;1933;0
28721384;133;1977;0
28811657;47;1022;0
28821243;133;1977;0
28881323;129;1933;0
28931212;133;1977;0
28941223;47;1022;0
28951204;133;1977;0
29071346;129;1933;0
29131247;75;1333;0
29141200;133;1977;0
29151257;129;1933;0
29192171;51;1066;0
29201247;129;1933;0
29221219;133;1977;0
29281225;76;1344;0
29291224;129;1933;0
29392161;51;1066;0
29401257;129;1933;0
29411385;133;1977;0
29421237;129;1933;0
29441227;110;1722;0
29451222;133;1977;0
29461957;129;1933;0
29531229;119;1822;0
29541206;129;1933;0
29561495;133;1977;0
29571738;129;1933;0
29592229;133;1977;0
29641226;132;1966;0
29651209;133;1977;0
29671217;129;1933;0
29681618;47;1022;0
29691253;133;1977;0
29751222;107;1688;0
29761398;133;1977;0
29771240;77;1355;0
29781214;133;1977;0
29831216;135;2000;0
29861339;133;1977;0
29931211;129;1933;0
30021543;133;1977;0
30031319;104;1655;0
30041326;133;1977;0
30051346;129;1933;0
30163397;59;1155;0
30171246;133;1977;0
30182097;129;1933;0
30221342;125;1888;0
30231362;129;1933;0
30252184;47;1022;0
30261817;133;1977;0
30321350;129;1933;0
30342023;58;1144;0
30351208;129;1933;0
30431229;51;1066;0
30441208;129;1933;0
30521233;51;1066;0
30531225;129;1933;0
30541258;125;1888;0
30562699;129;1933;0
30591201;133;1977;0
30611285;129;1933;0
30631246;51;1066;0
30641222;129;1933;0
30691217;125;1888;0
30701217;129;1933;0
30741352;67;1244;0
30751307;129;1933;0
30771331;125;1888;0
30781724;51;1066;0
30791315;129;1933;0
30841206;125;1888;0
30851231;51;1066;0
30861213;129;1933;0
30881716;133;1977;0
30891356;129;1933;0
30941203;99;1600;0
30951226;129;1933;0
30961243;108;1700;0
30971235;129;1933;0
31001350;89;1488;0
31011314;129;1933;0
31021370;125;1888;0
31081221;129;1933;0
31111360;51;1066;0
31121529;129;1933;0
31282093;51;1066;0
31291213;129;1933;0
31301236;125;1888;0
31331255;68;1255;0
31341242;129;1933;0
31392182;47;1022;0
31401223;133;1977;0
31451213;129;1933;0
31461997;113;1755;0
31471236;129;1933;0
31491340;125;1888;0
31501372;55;1111;0
31511496;125;1888;0
31521358;129;1933;0
31561423;125;1888;0
31571635;129;1933;0
31631339;51;1066;0
31641325;129;1933;0
31692214;51;1066;0
31701224;129;1933;0
31711419;125;1888;0
31761439;95;1555;0
31771230;125;1888;0
31802016;55;1111;0
31811406;125;1888;0
31841222;121;1844;0
31851231;125;1888;0
31921236;51;1066;0
31931196;129;1933;0
31941244;118;1811;0
31951230;125;1888;0
32031250;55;1111;0
32041230;129;1933;0
32051219;125;1888;0
32072258;51;1066;0
32081223;129;1933;0
32121228;51;1066;0
32131193;129;1933;0
32181228;125;1888;0
32191672;129;1933;0
32211215;55;1111;0
32221234;125;1888;0
32241340;129;1933;0
32251316;51;1066;0
32358890;125;1888;0
32364044;129;1933;0
32392215;51;1066;0
32401221;129;1933;0
32441229;60;1166;0
32451220;129;1933;0
32461819;75;1333;0
32471239;125;1888;0
32491337;129;1933;0
32501347;125;1888;0
32522066;129;1933;0
32571263;51;1066;0
32581208;129;1933;0
32621229;125;1888;0
32661236;51;1066;0
32671648;129;1933;0
32711204;125;1888;0
32731218;55;1111;0
32741205;125;1888;0
32771674;55;1111;0
32781246;125;1888;0
32821238;129;1933;0
32861353;117;1800;0
32871730;133;1977;0
32881361;71;1288;0
32891320;129;1933;0
32911212;125;1888;0
32951240;55;1111;0
32961326;125;1888;0
33001301;129;1933;0
33031324;51;1066;0
33041329;129;1933;0
33081215;133;1977;0
33101248;47;1022;0
33111224;133;1977;0
33121246;129;1933;0
33171234;51;1066;0
33181215;129;1933;0
33191650;97;1577;0
33201217;125;1888;0
33211247;129;1933;0
33241232;125;1888;0
33261341;51;1066;0
33271318;129;1933;0
33301347;93;1533;0
33311329;125;1888;0
33321376;129;1933;0
33342062;58;1144;0
33351230;129;1933;0
33463100;125;1888;0
33551249;129;1933;0
33592178;51;1066;0
33601223;125;1888;0
33661860;55;1111;0
33671529;129;1933;0
33731234;87;1466;0
33741208;133;1977;0
33801227;51;1066;0
33811228;129;1933;0
33831344;125;1888;0
33851304;129;1933;0
33861432;125;1888;0
33931354;55;1111;0
33941307;129;1933;0
33951346;102;1633;0
33961315;129;1933;0
33981531;125;1888;0
33991751;55;1111;0
34001326;125;1888;0
34061347;65;1222;0
34071231;125;1888;0
34081405;55;1111;0
34091216;125;1888;0
34122033;51;1066;0
34131397;129;1933;0
34161229;125;1888;0
34171210;55;1111;0
34181429;125;1888;0
34211344;55;1111;0
34221317;125;1888;0
34271222;129;1933;0
34281220;51;1066;0
34291224;129;1933;0
34321338;51;1066;0
34331322;129;1933;0
34362030;133;1977;0
34441522;129;1933;0
34563475;51;1066;0
34571295;129;1933;0
34581334;125;1888;0
34631338;93;1533;0
34641319;125;1888;0
34661729;121;1844;0
34671393;125;1888;0
34761767;55;1111;0
34771448;125;1888;0
34781236;129;1933;0
34811223;125;1888;0
34831210;55;1111;0
34841249;125;1888;0
34881239;129;1933;0
34911212;125;1888;0
34971234;75;1333;0
34981637;125;1888;0
34991226;55;1111;0
35001225;125;1888;0
35032171;121;1844;0
35061221;55;1111;0
35071225;125;1888;0
35091233;129;1933;0
35101235;125;1888;0
35131238;129;1933;0
35171234;114;1766;0
35181213;129;1933;0
35241212;51;1066;0
35251226;129;1933;0
35261224;109;1711;0
35271205;129;1933;0
35322050;94;1544;0
35331402;129;1933;0
35361445;125;1888;0
35392547;112;1744;0
35401238;129;1933;0
35421214;51;1066;0
35431404;129;1933;0
35462014;105;1666;0
35471225;129;1933;0
35491213;125;1888;0
35521335;129;1933;0
35531536;51;1066;0
35541323;129;1933;0
35551349;51;1066;0
35660388;129;1933;0
35721399;104;1655;0
35731212;125;1888;0
35741236;55;1111;0
35751226;125;1888;0
35782060;67;1244;0
35791237;129;1933;0
35811212;125;1888;0
35831257;55;1111;0
35841225;125;1888;0
35871556;126;1900;0
35881325;129;1933;0
35901310;125;1888;0
35911341;51;1066;0
35921500;129;1933;0
35931336;125;1888;0
35952183;55;1111;0
35961218;125;1888;0
36001237;55;1111;0
36011220;121;1844;0
36021445;59;1155;0
36031328;121;1844;0
36042021;125;1888;0
36091234;112;1744;0
36101223;125;1888;0
36111234;112;1744;0
36121403;125;1888;0
36141348;129;1933;0
36151334;125;1888;0
36172732;129;1933;0
36201222;51;1066;0
36211232;125;1888;0
36221276;129;1933;0
36251229;125;1888;0
36271211;55;1111;0
