uptime;temp;mem_free;load
4498509;32;32611904;0
5505576;31;32494560;5
6515722;31;32341248;0
7525945;31;32186960;5
8536254;31;32035248;5
9551563;31;31853984;5
10571769;31;31696432;5
11591868;31;31532800;47
12612043;31;31374736;0
13632239;31;31216672;0
14650552;31;32537888;6
