uptime;angle;pulse_us;done
9321853;97;1577;0
9332501;91;1511;0
9341992;90;1500;0
9352560;97;1577;0
9361860;96;1566;0
9372498;102;1633;0
9381851;103;1644;0
9392697;101;1622;0
9401862;100;1611;0
9412502;83;1422;0
9432509;76;1344;0
9442022;78;1366;0
9452540;101;1622;0
9461871;99;1600;0
9472511;92;1522;0
9481876;93;1533;0
9492715;99;1600;0
9501754;98;1588;0
9512422;102;1633;0
9521758;101;1622;0
9532419;93;1533;0
9541909;96;1566;0
9552401;106;1677;0
9561784;104;1655;0
9572398;103;1644;0
9581758;105;1666;0
9592531;88;1477;0
9601779;87;1466;0
9612415;90;1500;0
9632469;92;1522;0
9641998;94;1544;0
9652526;102;1633;0
9661732;90;1500;0
9672500;95;1555;0
9681868;94;1544;0
9692771;103;1644;0
9701634;90;1500;0
11065775;135;2000;0
11092819;114;1766;0
11101830;135;2000;0
11162656;126;1900;0
11172400;135;2000;0
11183131;134;1988;0
11192153;135;2000;0
11203093;121;1844;0
11212322;135;2000;0
11243283;125;1888;0
11251811;135;2000;0
11262995;131;1955;0
11272288;135;2000;0
11302679;131;1955;0
11311926;135;2000;0
11322647;97;1577;0
11331914;135;2000;0
11343382;124;1877;0
11352229;135;2000;0
11393234;117;1800;0
11401841;134;1988;0
11412941;110;1722;0
11422278;132;1966;0
11432946;135;2000;0
11441991;133;1977;0
11452985;108;1700;0
11462259;130;1944;0
11472517;122;1855;0
11481817;129;1933;0
11493172;111;1733;0
11502730;128;1922;0
11512521;124;1877;0
11521934;126;1900;0
11532637;135;2000;0
11542213;127;1911;0
11553070;135;2000;0
11562335;129;1933;0
11573093;135;2000;0
11582319;130;1944;0
11593260;68;1255;0
11602245;124;1877;0
11613403;135;2000;0
11622245;128;1922;0
11633094;91;1511;0
11642570;125;1888;0
11652611;135;2000;0
11661928;129;1933;0
11673124;119;1822;0
11682389;128;1922;0
11693274;77;1355;0
11702253;123;1866;0
11713428;112;1744;0
11722235;122;1855;0
11733119;135;2000;0
11742687;125;1888;0
11753095;135;2000;0
11762346;127;1911;0
11773076;128;1922;0
11782354;127;1911;0
11793258;130;1944;0
11802254;127;1911;0
11812980;126;1900;0
11822651;127;1911;0
11832528;102;1633;0
11842000;125;1888;0
11852966;135;2000;0
11862213;126;1900;0
11872984;84;1433;0
11882244;122;1855;0
11893194;132;1966;0
11902229;124;1877;0
11913069;95;1555;0
11922805;121;1844;0
11933058;135;2000;0
11942638;124;1877;0
11953135;135;2000;0
11962339;124;1877;0
11973103;53;1088;0
11982341;117;1800;0
11993283;92;1522;0
12002201;116;1788;0
12012984;135;2000;0
12022256;125;1888;0
12033391;134;1988;0
12042447;125;1888;0
12052660;123;1866;0
12061912;125;1888;0
12072607;87;1466;0
12081901;121;1844;0
12092821;114;1766;0
12101841;120;1833;0
12112967;111;1733;0
12122256;120;1833;0
12133405;74;1322;0
12168559;116;1788;0
12174056;135;2000;0
12182384;127;1911;0
12192832;87;1466;0
12201823;123;1866;0
12212984;135;2000;0
12222457;124;1877;0
12233573;98;1588;0
12242368;122;1855;0
12253163;62;1188;0
12262355;116;1788;0
12273311;135;2000;0
12282248;123;1866;0
12292516;135;2000;0
12301828;124;1877;0
12312983;50;1055;0
12322422;104;1655;0
12332957;135;2000;0
12362230;124;1877;0
12373248;50;1055;0
12382266;112;1744;0
12402423;135;2000;0
12412345;120;1833;0
12422138;98;1588;0
12431934;117;1800;0
12442781;50;1055;0
12452347;106;1677;0
12462386;135;2000;0
12472598;127;1911;0
12482386;50;1055;0
12492342;108;1700;0
12503074;135;2000;0
12512374;126;1900;0
12523261;50;1055;0
12532250;117;1800;0
12543402;50;1055;0
12552229;107;1688;0
12563107;54;1100;0
12572677;102;1633;0
12583042;135;2000;0
12592337;112;1744;0
12603113;135;2000;0
12612369;125;1888;0
12623301;51;1066;0
12632245;108;1700;0
12642981;135;2000;0
12652630;125;1888;0
12662979;51;1066;0
12672443;108;1700;0
12683029;75;1333;0
12692233;104;1655;0
12703011;135;2000;0
12712258;122;1855;0
12723264;50;1055;0
12732332;100;1611;0
12752863;135;2000;0
12762348;121;1844;0
12772667;50;1055;0
12782331;108;1700;0
12792375;135;2000;0
12802337;124;1877;0
12812389;69;1266;0
12822560;119;1822;0
12832404;135;2000;0
12842352;127;1911;0
12853672;50;1055;0
12862217;99;1600;0
12873224;135;2000;0
12882234;124;1877;0
12893094;62;1188;0
12902336;118;1811;0
12913104;130;1944;0
12922553;120;1833;0
12933059;50;1055;0
12942313;102;1633;0
12952644;122;1855;0
12962769;135;2000;0
12982222;118;1811;0
13003072;135;2000;0
13012346;122;1855;0
13023307;50;1055;0
13032245;103;1644;0
13042966;135;2000;0
13052241;112;1744;0
13063419;135;2000;0
13072424;117;1800;0
13083090;50;1055;0
13092357;103;1644;0
13103111;49;1044;0
13112326;94;1544;0
13123293;135;2000;0
13132258;118;1811;0
13142960;135;2000;0
13152221;121;1844;0
13163013;49;1044;0
13199145;115;1777;0
13203536;50;1055;0
13212397;97;1577;0
13223080;135;2000;0
13232338;121;1844;0
13243132;50;1055;0
13252557;96;1566;0
13263072;135;2000;0
13272372;110;1722;0
13283082;51;1066;0
13292358;103;1644;0
13303581;50;1055;0
13322627;53;1088;0
13331933;51;1066;0
13362583;50;1055;0
13382603;64;1211;0
13391952;50;1055;0
13422642;66;1233;0
13431926;50;1055;0
13462577;58;1144;0
13471899;50;1055;0
13482619;53;1088;0
13491910;51;1066;0
13502807;54;1100;0
13512125;51;1066;0
13522524;59;1155;0
13531818;50;1055;0
13542515;64;1211;0
13552002;50;1055;0
13562519;62;1188;0
13571810;51;1066;0
13582494;55;1111;0
13591820;50;1055;0
13602934;69;1266;0
13612232;51;1066;0
13632748;87;1466;0
13641930;51;1066;0
13652791;50;1055;0
13672585;63;1200;0
13681945;51;1066;0
13692645;72;1300;0
13702115;53;1088;0
13712877;65;1222;0
13721921;55;1111;0
13732636;71;1288;0
13741923;56;1122;0
13752798;51;1066;0
13761831;55;1111;0
13772509;64;1211;0
13781838;56;1122;0
13792498;72;1300;0
13802113;57;1133;0
13812527;87;1466;0
13822068;60;1166;0
13832511;51;1066;0
13841812;59;1155;0
13852731;88;1477;0
13861808;61;1177;0
13872483;97;1577;0
13881820;65;1222;0
13892505;51;1066;0
13901994;61;1177;0
13912502;58;1144;0
13922148;61;1177;0
13932541;68;1255;0
13941795;61;1177;0
13952662;94;1544;0
13961818;64;1211;0
13972493;79;1377;0
13981816;65;1222;0
13992489;72;1300;0
14002106;67;1244;0
14012568;83;1422;0
14022112;69;1266;0
14032502;50;1055;0
14041839;63;1200;0
14052692;80;1388;0
14061812;65;1222;0
14072480;50;1055;0
14081818;63;1200;0
14092532;91;1511;0
14102005;67;1244;0
14112500;77;1355;0
14121819;67;1244;0
14132770;50;1055;0
14141819;64;1211;0
14152681;100;1611;0
14161823;68;1255;0
14172544;66;1233;0
14181817;67;1244;0
14192488;90;1500;0
14228560;70;1277;0
14234082;51;1066;0
14241945;68;1255;0
14252767;74;1322;0
14261817;68;1255;0
14272556;50;1055;0
14281980;64;1211;0
14292539;113;1755;0
14301812;69;1266;0
14312493;50;1055;0
14321807;64;1211;0
14332687;111;1733;0
14342128;69;1266;0
14352533;55;1111;0
14361803;67;1244;0
14372493;50;1055;0
14382001;66;1233;0
14392509;50;1055;0
14401797;64;1211;0
14412498;87;1466;0
14421818;67;1244;0
14432848;70;1277;0
14441810;66;1233;0
14461944;102;1633;0
14471909;70;1277;0
14482120;55;1111;0
14491900;68;1255;0
14501953;92;1522;0
14511904;71;1288;0
14521941;58;1144;0
14532087;69;1266;0
14541948;53;1088;0
14552201;68;1255;0
14561939;50;1055;0
14571912;65;1222;0
14582121;120;1833;0
14591925;69;1266;0
14601950;50;1055;0
14611917;66;1233;0
14621953;104;1655;0
14632204;71;1288;0
14641942;50;1055;0
14651900;65;1222;0
14662214;108;1700;0
14671922;69;1266;0
14682128;55;1111;0
14691920;68;1255;0
14701941;104;1655;0
14711937;72;1300;0
14721921;50;1055;0
14732122;69;1266;0
14741934;49;1044;0
14751914;64;1211;0
14761940;91;1511;0
14772205;69;1266;0
14782134;74;1322;0
14791952;68;1255;0
14801909;51;1066;0
14811901;66;1233;0
14821967;127;1911;0
14832234;71;1288;0
14841916;50;1055;0
14851936;66;1233;0
14861921;65;1222;0
14883052;110;1722;0
14891817;70;1277;0
14902536;58;1144;0
14911829;69;1266;0
14922514;50;1055;0
14932015;64;1211;0
14942470;105;1666;0
14951827;68;1255;0
14962486;62;1188;0
14971805;67;1244;0
14982706;84;1433;0
14992124;69;1266;0
15002531;90;1500;0
15011807;71;1288;0
15022499;50;1055;0
15032101;64;1211;0
15042498;68;1255;0
15051815;65;1222;0
15062502;68;1255;0
15071812;65;1222;0
15082688;84;1433;0
15091806;67;1244;0
15102753;94;1544;0
15111813;69;1266;0
15122504;78;1366;0
15132004;70;1277;0
15142503;68;1255;0
15151823;70;1277;0
15162522;66;1233;0
15171825;70;1277;0
15182700;50;1055;0
15191825;65;1222;0
15202780;81;1400;0
15211830;67;1244;0
15222527;100;1611;0
15258626;70;1277;0
15263871;50;1055;0
15271953;65;1222;0
15282632;104;1655;0
15291916;68;1255;0
15302866;78;1366;0
15312108;71;1288;0
15322693;50;1055;0
15331938;67;1244;0
15342616;52;1077;0
15351940;65;1222;0
15362804;80;1388;0
15371835;67;1244;0
15382481;69;1266;0
15391817;67;1244;0
15402576;50;1055;0
15412329;65;1222;0
15422518;73;1311;0
15431821;66;1233;0
15442523;75;1333;0
15451820;68;1255;0
15462804;50;1055;0
15471815;65;1222;0
15492772;105;1666;0
15501828;70;1277;0
15512982;50;1055;0
15521841;65;1222;0
15532630;61;1177;0
15541912;65;1222;0
15552614;68;1255;0
15562123;66;1233;0
15572679;79;1377;0
15581929;66;1233;0
15592609;62;1188;0
15601920;66;1233;0
15613048;126;1900;0
15621811;72;1300;0
15632523;49;1044;0
15641821;68;1255;0
15652545;69;1266;0
15672603;53;1088;0
15690831;66;1233;0
15701854;85;1444;0
15712008;69;1266;0
15722842;74;1322;0
