uptime;angle;pulse_us;done
9293215;80;1388;0
9312984;99;1600;0
9322278;97;1577;0
9332947;89;1488;0
9342425;90;1500;0
9353017;95;1555;0
9362302;96;1566;0
9372974;104;1655;0
9382307;103;1644;0
9393175;99;1600;0
9402289;100;1611;0
9412942;83;1422;0
9432971;80;1388;0
9442469;78;1366;0
9453018;97;1577;0
9462295;99;1600;0
9472986;94;1544;0
9482313;93;1533;0
9493193;97;1577;0
9502174;98;1588;0
9512866;100;1611;0
9522210;101;1622;0
9532887;99;1600;0
9542335;96;1566;0
9552885;102;1633;0
9562215;104;1655;0
9572865;107;1688;0
9582192;105;1666;0
9593002;86;1455;0
9602218;87;1466;0
9612887;90;1500;0
9632929;96;1566;0
9642426;94;1544;0
9652989;100;1611;0
9662154;90;1500;0
9672966;93;1533;0
9682288;94;1544;0
9693260;107;1688;0
9702076;90;1500;0
11066195;54;1100;0
11093326;84;1433;0
11102276;54;1100;0
11163155;70;1277;0
11172872;53;1088;0
11183547;62;1188;0
11192608;53;1088;0
11203513;75;1333;0
11212740;53;1088;0
11223173;54;1100;0
11243700;71;1288;0
11252247;53;1088;0
11263409;65;1222;0
11272700;54;1100;0
11283542;58;1144;0
11292566;54;1100;0
11303181;65;1222;0
11312384;56;1122;0
11323120;97;1577;0
11332353;59;1155;0
11343798;72;1300;0
11352645;61;1177;0
11372782;52;1077;0
11381957;58;1144;0
11393785;77;1355;0
11402270;60;1166;0
11413353;84;1433;0
11422687;62;1188;0
11433358;54;1100;0
11442434;61;1177;0
11453402;86;1455;0
11462680;64;1211;0
11473006;72;1300;0
11482257;65;1222;0
11493586;83;1422;0
11503139;66;1233;0
11512997;68;1255;0
11522375;66;1233;0
11533136;56;1122;0
11542669;65;1222;0
11553491;55;1111;0
11562747;65;1222;0
11573505;51;1066;0
11582726;62;1188;0
11593671;124;1877;0
11602653;68;1255;0
11613824;51;1066;0
11622657;64;1211;0
11633506;103;1644;0
11642982;69;1266;0
11653095;51;1066;0
11662366;63;1200;0
11673545;73;1311;0
11682801;64;1211;0
11693686;115;1777;0
11702660;69;1266;0
11713845;80;1388;0
11722655;70;1277;0
11733536;52;1077;0
11743099;69;1266;0
11753512;51;1066;0
11762754;65;1222;0
11773488;64;1211;0
11782764;65;1222;0
11793674;62;1188;0
11802662;65;1222;0
11813396;66;1233;0
11823062;65;1222;0
11833026;90;1500;0
11842464;67;1244;0
11853377;50;1055;0
11862620;64;1211;0
11873408;106;1677;0
11882652;68;1255;0
11893610;60;1166;0
11902641;68;1255;0
11913486;97;1577;0
11923214;71;1288;0
11933471;51;1066;0
11943047;68;1255;0
11953574;54;1100;0
11962753;66;1233;0
11973515;135;2000;0
11982749;73;1311;0
11993699;100;1611;0
12002612;76;1344;0
12013402;51;1066;0
12022673;67;1244;0
12033803;56;1122;0
12042863;65;1222;0
12053127;67;1244;0
12062348;65;1222;0
12073071;103;1644;0
12082330;69;1266;0
12093295;76;1344;0
12102287;70;1277;0
12113383;79;1377;0
12122664;70;1277;0
12133817;118;1811;0
12168977;76;1344;0
12174473;50;1055;0
12182804;63;1200;0
12193339;103;1644;0
12202279;67;1244;0
12213402;52;1077;0
12222869;66;1233;0
12233998;92;1522;0
12242777;68;1255;0
12253579;128;1922;0
12262774;74;1322;0
12273729;51;1066;0
12282655;69;1266;0
12293003;50;1055;0
12302266;66;1233;0
12313394;135;2000;0
12322837;86;1455;0
12333372;50;1055;0
12362654;66;1233;0
12373665;135;2000;0
12382673;78;1366;0
12402839;51;1066;0
12412757;72;1300;0
12422604;92;1522;0
12432373;73;1311;0
12443188;135;2000;0
12452755;84;1433;0
12462805;50;1055;0
12473010;63;1200;0
12482798;135;2000;0
12492766;82;1411;0
12503482;51;1066;0
12512785;66;1233;0
12523673;135;2000;0
12532659;73;1311;0
12543810;135;2000;0
12552636;83;1422;0
12563520;135;2000;0
12573086;88;1477;0
12583458;50;1055;0
12592753;78;1366;0
12603526;50;1055;0
12612783;65;1222;0
12623713;135;2000;0
12632653;84;1433;0
12643394;50;1055;0
12653037;65;1222;0
12663392;135;2000;0
12672852;84;1433;0
12683437;115;1777;0
12692647;86;1455;0
12703423;50;1055;0
12712665;68;1255;0
12723680;135;2000;0
12732744;90;1500;0
12753273;50;1055;0
12762756;69;1266;0
12773084;135;2000;0
12782743;82;1411;0
12792786;50;1055;0
12802745;66;1233;0
12812810;121;1844;0
12822984;71;1288;0
12832813;50;1055;0
12842774;63;1200;0
12854093;135;2000;0
12862627;91;1511;0
12873643;50;1055;0
12882643;66;1233;0
12893507;128;1922;0
12902748;72;1300;0
12913515;62;1188;0
12922964;72;1300;0
12933470;135;2000;0
12942724;88;1477;0
12953123;68;1255;0
12963186;51;1066;0
12973424;50;1055;0
12982634;72;1300;0
13003491;50;1055;0
13012752;68;1255;0
13023723;135;2000;0
13032652;87;1466;0
13043383;50;1055;0
13052657;78;1366;0
13063848;50;1055;0
13072836;73;1311;0
13083507;135;2000;0
13092765;87;1466;0
13103522;135;2000;0
13112738;94;1544;0
13123706;51;1066;0
13132665;74;1322;0
13143376;50;1055;0
13152629;69;1266;0
13163429;135;2000;0
13199559;73;1311;0
13203972;135;2000;0
13212809;93;1533;0
13223501;50;1055;0
13232744;69;1266;0
13243545;135;2000;0
13252978;94;1544;0
13263482;49;1044;0
13272783;78;1366;0
13283497;135;2000;0
13292772;89;1488;0
13304006;135;2000;0
13383098;126;1900;0
13392382;135;2000;0
13423209;124;1877;0
13432401;135;2000;0
13463118;132;1966;0
13472353;135;2000;0
13523023;131;1955;0
13532257;135;2000;0
13542994;126;1900;0
13552467;135;2000;0
