@20000101_000003_812_accel_adxl375.csv@uptime;ax;ay;az
@20000101_000003_812_accel_adxl375.csv@7865515;0.0;0.0;-0.004
@20000101_000003_812_accel_adxl375.csv@7916313;0.0;0.0;0.011
@20000101_000003_812_accel_adxl375.csv@7966246;0.0;0.0;0.098
@20000101_000003_812_accel_adxl375.csv@8024920;0.0;0.0;-0.051
@20000101_000003_812_accel_adxl375.csv@8075518;0.0;0.0;0.012
@20000101_000003_812_accel_adxl375.csv@8126255;0.0;0.0;-0.028
@20000101_000003_812_accel_adxl375.csv@8176323;0.0;0.0;-0.006
@20000101_000003_812_accel_adxl375.csv@8225526;0.0;0.0;-0.032
@20000101_000003_812_accel_adxl375.csv@8275500;0.0;0.0;-0.078
@20000101_000003_812_accel_adxl375.csv@8326066;0.0;0.0;-0.078
@20000101_000003_812_accel_adxl375.csv@8375460;0.0;0.0;0.039
@20000101_000003_812_accel_adxl375.csv@8426067;0.0;0.0;0.047
@20000101_000003_812_accel_adxl375.csv@8475452;0.0;0.0;0.074
@20000101_000003_812_accel_adxl375.csv@8525476;0.0;0.0;-0.054
@20000101_000003_812_accel_adxl375.csv@8575452;0.0;0.0;-0.089
@20000101_000003_812_accel_adxl375.csv@8619827;0.0;0.0;0.044
@20000101_000003_812_accel_adxl375.csv@8666056;0.0;0.0;-0.064
@20000101_000003_812_accel_adxl375.csv@8715455;0.0;0.0;-0.022
@20000101_000003_812_accel_adxl375.csv@8766049;0.0;0.0;-0.073
@20000101_000003_812_accel_adxl375.csv@8815453;0.0;0.0;0.092
@20000101_000003_812_accel_adxl375.csv@8866014;0.0;0.0;-0.06
@20000101_000003_812_accel_adxl375.csv@8915457;0.0;0.0;-0.073
@20000101_000003_812_accel_adxl375.csv@8966024;0.0;0.0;-0.095
@20000101_000003_812_accel_adxl375.csv@9016142;0.0;0.0;-0.043
@20000101_000003_812_accel_adxl375.csv@9065443;0.0;0.0;-0.068
@20000101_000003_812_accel_adxl375.csv@9116149;0.0;0.0;-0.062
@20000101_000003_812_accel_adxl375.csv@9165454;0.0;0.0;0.039
@20000101_000003_812_accel_adxl375.csv@9215445;0.0;0.0;-0.013
@20000101_000003_812_accel_adxl375.csv@9266030;0.0;0.0;0.076
@20000101_000003_812_accel_adxl375.csv@9315440;0.0;0.0;-0.027
@20000101_000003_812_accel_adxl375.csv@9366020;0.0;0.0;-0.03
@20000101_000003_812_accel_adxl375.csv@9415454;0.0;0.0;0.021
@20000101_000003_812_accel_adxl375.csv@9466018;0.0;0.0;0.018
@20000101_000003_812_accel_adxl375.csv@9515437;0.0;0.0;-0.088
@20000101_000003_812_accel_adxl375.csv@9566024;0.0;0.0;0.098
@20000101_000003_812_accel_adxl375.csv@9614604;0.0;0.0;1.063
@20000101_000003_812_accel_adxl375.csv@9674726;0.0;0.0;1.027
@20000101_000003_812_accel_adxl375.csv@9718173;0.0;0.0;0.997
@20000101_000003_812_accel_adxl375.csv@9766400;0.0;0.0;0.824
@20000101_000003_812_accel_adxl375.csv@9816526;0.0;0.0;1.165
@20000101_000003_812_accel_adxl375.csv@9866368;0.0;0.0;1.063
@20000101_000003_812_accel_adxl375.csv@9916527;0.0;0.0;1.091
@20000101_000003_812_accel_adxl375.csv@9966410;0.0;0.0;0.97
@20000101_000003_812_accel_adxl375.csv@10016471;0.0;0.0;0.89
@20000101_000003_812_accel_adxl375.csv@10066372;0.0;0.0;1.117
@20000101_000003_812_accel_adxl375.csv@10117444;0.0;0.0;0.847
@20000101_000003_812_accel_adxl375.csv@10166329;0.0;0.0;0.869
@20000101_000003_812_accel_adxl375.csv@10217470;0.0;0.0;1.03
@20000101_000003_812_accel_adxl375.csv@10266408;0.0;0.0;0.98
@20000101_000003_812_accel_adxl375.csv@10317538;0.0;0.0;1.005
@20000101_000003_812_accel_adxl375.csv@10366358;0.0;0.0;0.893
@20000101_000003_812_accel_adxl375.csv@10416983;0.0;0.0;1.165
@20000101_000003_812_accel_adxl375.csv@10466393;0.0;0.0;1.047
@20000101_000003_812_accel_adxl375.csv@10516530;0.0;0.0;1.128
@20000101_000003_812_accel_adxl375.csv@10566379;0.0;0.0;1.071
@20000101_000003_812_accel_adxl375.csv@10616533;0.0;0.0;1.119
@20000101_000003_812_accel_adxl375.csv@10674367;0.0;0.0;0.923
@20000101_000003_812_accel_adxl375.csv@10726376;0.0;0.0;0.896
@20000101_000003_812_accel_adxl375.csv@10776693;0.0;0.0;1.058
@20000101_000003_812_accel_adxl375.csv@10826535;0.0;0.0;1.089
@20000101_000003_812_accel_adxl375.csv@10876697;0.0;0.0;0.859
@20000101_000003_812_accel_adxl375.csv@10926556;0.0;0.0;0.996
@20000101_000003_812_accel_adxl375.csv@10976704;0.0;0.0;0.841
@20000101_000003_812_accel_adxl375.csv@11026540;0.0;0.0;0.916
@20000101_000003_812_accel_adxl375.csv@11076748;0.0;0.0;0.914
@20000101_000003_812_accel_adxl375.csv@11126546;0.0;0.0;0.903
@20000101_000003_812_accel_adxl375.csv@11176715;0.0;0.0;0.999
@20000101_000003_812_accel_adxl375.csv@11226584;0.0;0.0;1.047
@20000101_000003_812_accel_adxl375.csv@11277981;0.0;0.0;0.961
@20000101_000003_812_accel_adxl375.csv@11326380;0.0;0.0;0.905
@20000101_000003_812_accel_adxl375.csv@11376938;0.0;0.0;1.095
@20000101_000003_812_accel_adxl375.csv@11426355;0.0;0.0;1.176
@20000101_000003_812_accel_adxl375.csv@11476522;0.0;0.0;0.945
